datetimeNotification|datetimeEvent|nameEvent|detailsEvent
2000-01-01 00:00|||Test
2000-01-01 00:01|2000-01-01 00:01|Welcome Message|Welcome everyone, this is a channel to post notifications about the wedding.\n\nWe hope you enjoy the wedding day!
2022-04-24 12:00|2022-04-25 10:00|Ceremony Arrival|Please arrive for the civil ceremony at between 10:15 and 10:45 tomorrow. The address is:\n\nRudding Park Hotel,\nHG3 1JH
2022-04-25 10:00|2022-04-25 10:15|Drop off Indian attire|Please drop off any items for changing into Russell room (for men) or Wyatt room (for ladies).\n\nThe groomsmen will help you locate the rooms
2022-04-25 10:15|2022-04-25 10:15|Ceremony Location|The civil ceremony is located in the Drawing Room at Rudding House.
2022-04-25 10:25|2022-04-25 10:25|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nThe good the bad and the ugly...we want them all!
2022-04-25 10:35|2022-04-25 10:45|Take your seat|The ceremony will begin soon in the Drawing Room, please start to take your seats.\n\nThe groom's father Jitesh, and mother, Harsha, will help you find your seats.
2022-04-25 10:50|2022-04-25 10:55|Ceremony Starting|The civil ceremony will start in 10 minutes please make sure you are seated so the bride can arrive!\n\nYou should find your name, a program for the day and some confetti on your seat.\n\nThe photographer will indicate when to use the confetti.
2022-04-25 10:55|2022-04-25 10:55|Ceremony Starting|The civil ceremony will start in 5 minutes.\n\nPlease set your phone to silent or turn it off.
2022-04-25 11:30|2022-04-25 11:30|Congratulations|Joy and Rosie are (hopefully) now legally married\n\nPlease welcome the new Mr and Mrs Tolia!
2022-04-25 11:31|2022-04-25 11:35|Group photo and confetti shot|Please follow the photographer for our confetti and group photo.
2022-04-25 11:32|2022-04-25 11:35|Group photos|If you are in another group photo please stay with us until your number is called:\n\n1 - (Joy, Rosie, Ian, Jay, Rishi, Tim, Mike, Di, Subin, Such, Rajiev, Lior, David Chapman, Lorna, David Xiao)\n\n2 - (Joy, Rosie + Kavit, Sarah and Rohan, Sunny, Riddhi and Divij)\n\n3 - (Joy, Rosie + Jitesh, Harsha, Paresh, Jayshree, Deepak, Nina, Piyush, Jagruti, Vikram, Varsha)\n\n4 - (Joy, Rosie + Jitesh, Harsha)\n\n 5 - (Joy, Rosie + Jeanie, Harsha)\n\n6 - (Joy, Rosie + Jeanie)\n\n7 - (Joy, Rosie + Jeanie, Tom, Daria, Grandad)\n\n8 - (Joy, Rosie + Jeanie, Tom, Daria, Samantha, Keith, Grandad, Carl, Lucy, Maisy, Alfie, Sue, Graham)\n\n9 - (Joy, Rosie + Tom, Daria)
2022-04-25 11:35|2022-04-25 11:35|Reception drinks|Please head over to the Library and the Blue room for some drinks and canapes.\n\nIf you need other refreshments there is a bar in the Blue Room.
2022-04-25 11:40|2022-04-25 11:40|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nWhat about a selfie?
2022-04-25 11:45|2022-04-25 11:45|Games|Try to guess where the couple are in their photos or give them a suggestion for the perfect date night. If weather permits enjoy the garden games!
2022-04-25 12:15|2022-04-25 12:15|Caricature|Don't forget to grab yourself a caricature from our artist Richard who will be with us throughout the day!
2022-04-25 12:30|2022-04-25 12:30|Games|Try to be a champion playing the traditional Indian board game Carrom.
2022-04-25 12:45|2022-04-25 12:45|Hungry|If you are getting hungry, not to worry! We will be moving upstairs shortly.
2022-04-25 12:55|2022-04-25 13:00|Wedding Breakfast|Please head upstairs to the Crosby Suite and take your seats!
2022-04-25 13:00|2022-04-25 13:00|Wedding Breakfast|Take your seats, don't worry if you forgot what you are having, we have you covered!
2022-04-25 13:15|2022-04-25 13:15|Wedding Breakfast|Take a look at the games on the table.\n\nHow good is your wedding knowledge.\n\nHow well do you know Joy and Rosie?
2022-04-25 13:45|2022-04-25 13:45|Wedding Breakfast|There is a program for the Indian ceremony if you want to have a preview for what is coming up later in the day!
2022-04-25 14:00|2022-04-25 14:00|Wedding Breakfast|Take a look at the cup cakes yum yum … they are for later though!
2022-04-25 14:10|2022-04-25 14:10|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nSend a group photo of your table!
2022-04-25 14:15|2022-04-25 14:15|Wedding Breakfast|Hope you are enjoying your food. Speeches will be at 3pm if we are keeping to our schedule and there will be tea and coffee after dinner.
2022-04-25 14:55|2022-04-25 15:00|Speeches|Please make sure you are seated and with a glass in your hand to hear some speeches and raise some glasses.
2022-04-25 15:20|2022-04-25 15:20|Wedding Breakfast Finishing|We hope you enjoyed your food!
2022-04-25 15:21|2022-04-25 15:30|Changing Rooms|There are two rooms upstairs; Russell room for men and Wyatt room for women.\n\nThe Baraat will begin at 4.15pm so make haste!\n\nThere is also a powder room for the ladies with lots of mirrors if you want to freshen up.
2022-04-25 15:30|2022-04-25 15:45|Changing Rooms|We hope all is going well. Please find the groom's mum (Harsha) if you need any help draping sarees.\n\nYou can leave your clothes inside the rooms to collect later.\n\nPlease don't leave any valuables.
2022-04-25 16:00|2022-04-25 16:00|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nReady already? Share your Indian outfits!
2022-04-25 16:10|2022-04-25 16:15|Almost ready|Please finish up getting ready and make your way outside onto the roundabout for Joy's Baraat.
2022-04-25 16:15|2022-04-25 16:15|Baraat|Please gather outside for Joy's Baraat … follow the beating drums.
2022-04-25 16:20|2022-04-25 16:20|Baraat|Dance, dance, dance around and clap, clap, clap your hands. Stamp, stamp, stamp your feet and listen to the beat.\n\nGo freestyle and dance around make sure we get Joy dizzy with our lovely ladies dancing around him and our handsome gents grooving to the beats!
2022-04-25 16:45|2022-04-25 16:45|Joy's welcome|Wow, look at that lovely lady in the entrance to Rudding Park. When you see her, make your way over for the groom's welcome ceremony.
2022-04-25 16:50|2022-04-25 16:50|Swagat Mala|Exchanges of hugs and garlands from our close family.
2022-04-25 17:00|2022-04-25 17:00|Indian Ceremony Starting|Follow the Bride's mum, Jeanie, and the drummers into the Radcliffe room and take your seats.\n\nPlease find your assigned seats where you will have a program for the ceremony.
2022-04-25 17:10|2022-04-25 17:15|Indian Ceremony|The ceremony will begin - please see your program for more information.\n\nPlease set your phone to silent or turn it off.
2022-04-25 18:45|2022-04-25 18:50|Indian Ceremony Finishes|If all went to plan, Joy and Rosie are now Husband and Wife in every way.\n\nYaaaaaaay!
2022-04-25 18:50|2022-04-25 18:50|Refreshment break|Please take a sweet treat and some time to refresh yourself and we will see you back upstairs in the Crosby Suite at 7.15pm.
2022-04-25 19:10|2022-04-25 19:15|Cake cutting|Yummy!
2022-04-25 19:15|2022-04-25 19:20|First dance|Awwwwwww :)
2022-04-25 19:30|2022-04-25 19:30|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nCapture that dancing queen (or king)!
2022-04-25 19:35|2022-04-25 20:30|Hungry|Food will be served at 8.30pm.
2022-04-25 19:45|2022-04-25 20:00|Guestbook|Please sign our guest book!!! We would love to have your well wishes to cherish x
2022-04-25 20:25|2022-04-25 20:30|Food|Food will be served shortly.
2022-04-25 20:55|2022-04-25 21:00|Chocolate Fountain|For the chocolate lovers out there head over to get some chocolate!!!!!!
2022-04-25 21:15|2022-04-25 21:15|Photos|Please share your photos with us on https://t.me/+jksUq24-xgUyMWQ0\n\nHow much chocolate did you get on your face?
2022-04-25 22:00|2022-04-25 22:00|Dance the night away|Thank you for sharing our day, now you just need to dance the night away with us…\n\nGet on the DANCE FLOOR!
